Title,Date,Source Type,Publication Title
Citgo and Sun Join In Oil Price Cuts,1/1/1986,Historical Newspapers,New York Times
-o-^ . BUSINESS Digest,1/1/1986,Historical Newspapers,New York Times
Two Canada Firms Lower Price of Gas Shipped to the U.S.,1/2/1986,Historical Newspapers,Wall Street Journal
Big Board's Final Surge Reshapes Winners List,1/2/1986,Historical Newspapers,New York Times
Big Winners Aren't Always What Trends Seem to Show,1/2/1986,Historical Newspapers,Wall Street Journal
Commodity Price Levels Are Expected To Stay Low,1/2/1986,Historical Newspapers,Wall Street Journal
Reagan Sees Mexican Today; Nicaragua May Be on Agenda,1/3/1986,Historical Newspapers,New York Times
Petroleum Prices Fall; Cattle and Grain Are Off,1/3/1986,Historical Newspapers,New York Times
Brazilian Drought Pushes Up Prices For Three Products,1/3/1986,Historical Newspapers,Wall Street Journal
Home Fuel Costs: No Price Drop in Sight,1/4/1986,Historical Newspapers,New York Times
Soybean Prices Slump; Cattle and Hogs Lower,1/4/1986,Historical Newspapers,New York Times
How Oil Squeezes The Texas Economy,1/5/1986,Historical Newspapers,New York Times
A Show of Unity Along the Border,1/5/1986,Historical Newspapers,New York Times
Supertankers Face Extinction,1/5/1986,Historical Newspapers,The Washington Post
Fuel Producers Cut Exploration in U.S.,1/6/1986,Historical Newspapers,New York Times
Sugar Surplus Sale Costs Taxpayers $36 Million,1/6/1986,Historical Newspapers,The Washington Post
Cautious Response,1/6/1986,Historical Newspapers,The Washington Post
Cold Weather Outlook Pushes Heating Oil Up,1/7/1986,Historical Newspapers,New York Times
Soybean Prices Spurt; Coffee Also Advances,1/8/1986,Historical Newspapers,New York Times
BUSINESS BRIEFS,1/8/1986,Historical Newspapers,Wall Street Journal
Dollar Climbs Against Most Units; U.K. Rate Rise Cushions Sterling,1/9/1986,Historical Newspapers,Wall Street Journal
Financial Prices Plummet on News Of Strong Economy,1/9/1986,Historical Newspapers,Wall Street Journal
Coffee Continues Rise; Soybean Prices Rallv,1/9/1986,Historical Newspapers,New York Times
Egypt Cuts Oil Prices,1/9/1986,Historical Newspapers,New York Times
U.S. Firms Weigh Embargo's Impact,1/9/1986,Historical Newspapers,The Washington Post
FUTURES PRICES,1/10/1986,Historical Newspapers,Wall Street Journal
Egypt Cuts Oil Prices By $1 to $1.35 a Barrel; Venezuela Seen Next,1/10/1986,Historical Newspapers,Wall Street Journal
Heseltine Resignation Splits British Tories...,1/10/1986,Historical Newspapers,Wall Street Journal
Producer Prices Advance 0.4%,1/11/1986,Historical Newspapers,New York Times
Fighting Words,1/12/1986,Historical Newspapers,New York Times
$6 Million To Be Added To Fuel Aid,1/12/1986,Historical Newspapers,New York Times
Gas Prices Show Drops,1/13/1986,Historical Newspapers,New York Times
Venezuela Reduces Prices On Some Heavy Crude Oil,1/13/1986,Historical Newspapers,Wall Street Journal
Producer Prices Increased 0.4% For December,1/13/1986,Historical Newspapers,Wall Street Journal
"Pennzoil, Texaco Stocks Fall",1/14/1986,Historical Newspapers,New York Times
"Heating Oil Off Sharply; Coffee, Grains Decline",1/14/1986,Historical Newspapers,New York Times
Arco and Alaska Settle Tax Case For $243 Million,1/14/1986,Historical Newspapers,Wall Street Journal
Goodyear Is Becoming Force in Oil Industry,1/14/1986,Historical Newspapers,Wall Street Journal
Four Canada Refiners Cut Purchase Prices For Light Crude Oil,1/14/1986,Historical Newspapers,Wall Street Journal
Stock Prices Close Little Changed As Trading Is Moderately Active,1/15/1986,Historical Newspapers,Wall Street Journal
U.S. Bond Prices Rise On Belief Contracts Had Been Oversold,1/15/1986,Historical Newspapers,Wall Street Journal
Contracts for Gold Surge on Worries About Middle East,1/16/1986,Historical Newspapers,Wall Street Journal
Stock Prices Record Further Gains After Heavy Late-Session Buying,1/17/1986,Historical Newspapers,Wall Street Journal
COMMODITIES,1/17/1986,Historical Newspapers,Wall Street Journal
Gold Jumps In Hectic Trading,1/17/1986,Historical Newspapers,New York Times
Crude and Heating Oil Drop Sharply in Price,1/17/1986,Historical Newspapers,New York Times
"Crude, Heating Oil Prices Lowest Since '70s",1/17/1986,Historical Newspapers,The Washington Post
Futures Prices for Oil Continue Their Steep Slide,1/18/1986,Historical Newspapers,New York Times
Dow Off By 4.93 in Mixed Day,1/18/1986,Historical Newspapers,New York Times
Venezuela Cracks the Whip on Taxes,1/19/1986,Historical Newspapers,The Washington Post
Soviets Start 15-year Economic Push,1/19/1986,Historical Newspapers,The Washington Post
"An Appraisal: Caution From IBM, GE Damps Investors' Enthusiasm",1/20/1986,Historical Newspapers,Wall Street Journal
Ashland Oil Says Net Rose 'Substantially' In Fiscal 1st Quarter,1/21/1986,Historical Newspapers,Wall Street Journal
Bearish Viewpoint on Oil Prices Expressed By Economist Is Gaining Some Acceptance,1/21/1986,Historical Newspapers,Wall Street Journal
"Crude-Oil Prices Plunge in U.S., Europe Trading",1/21/1986,Historical Newspapers,Wall Street Journal
Crude Oil Falls Below $20 a Barrel,1/21/1986,Historical Newspapers,New York Times
Dollar Falls Modestly; Oil Prices Hurt Pound,1/21/1986,Historical Newspapers,New York Times
Non-OPEC Oil and Supply and Demand Upend Pricing System in World Markets,1/22/1986,Historical Newspapers,Wall Street Journal
"Prices at the Gas Pump Won't Fall Soon, But Some See Sharp Declines in Late '86",1/22/1986,Historical Newspapers,Wall Street Journal
Bonds Rally Slightly as Oil-Price Drop Sparks Optimism About Interest Rates,1/22/1986,Historical Newspapers,Wall Street Journal
Oil Prices Plummet for the Fourth Day As Top U.S. Grade Crashes $20 Barrier,1/22/1986,Historical Newspapers,Wall Street Journal
Plunging Oil Prices Knock Down Industry's Issues and Bank Stocks,1/22/1986,Historical Newspapers,Wall Street Journal
Oil Decline Spurs Rate Drop,1/22/1986,Historical Newspapers,New York Times
The Struggle Over Rates,1/22/1986,Historical Newspapers,New York Times
Crude Prices Continue Plunge,1/22/1986,Historical Newspapers,New York Times
"Other Factors Affect Gasoline, Heating Oil",1/22/1986,Historical Newspapers,New York Times
Oil Jitters Send Stocks Down Sharply,1/22/1986,Historical Newspapers,The Washington Post
Plunging World Oil Prices Put Spotlight On Internal Struggles of Divided OPEC,1/23/1986,Historical Newspapers,Wall Street Journal
Texaco's Efforts to Settle Pennzoil Case Could Be Hindered by Oil-Price Decline,1/23/1986,Historical Newspapers,Wall Street Journal
Crude Oil Posts Smaller Declines As Trading Slows,1/23/1986,Historical Newspapers,Wall Street Journal
"For Britain, Calls To Curb Production",1/23/1986,Historical Newspapers,New York Times
Prices Up 0.4% in December,1/23/1986,Historical Newspapers,New York Times
"For Mexico, Fear of Havoc",1/23/1986,Historical Newspapers,New York Times
Fuel Costs Show Rise,1/23/1986,Historical Newspapers,New York Times
Oil Trading Is Slower; Prices Fall,1/23/1986,Historical Newspapers,New York Times
U.S. Banks Facing Oil Price Squeeze,1/23/1986,Historical Newspapers,New York Times
Stocks Fall as Traders Mull Effect of Weak Oil Prices,1/23/1986,Historical Newspapers,The Washington Post
Pressure Builds on U.K. to Curb Oil Output As Price Slump Drags the Pound Lower,1/24/1986,Historical Newspapers,Wall Street Journal
Mexico at the Brink,1/24/1986,Historical Newspapers,New York Times
More Jitters in the Oil Markets,1/24/1986,Historical Newspapers,New York Times
Texas Eastern,1/24/1986,Historical Newspapers,New York Times
Oil Prices Fall to Six-Year Low; Saudis Seen Forcing More Cuts to Lift Demand,1/24/1986,Historical Newspapers,Wall Street Journal
"Sohio Posts $771 Million Quarterly Loss; Net Fell at Amoco, Rose 86% at Ashland",1/24/1986,Historical Newspapers,Wall Street Journal
Oil Contracts Fall Following Remarks By Saudi Minister,1/24/1986,Historical Newspapers,Wall Street Journal
Oil Prices Continue to Slide,1/25/1986,Historical Newspapers,New York Times
Texaco Income Rises; Shell Up by 12.2%,1/25/1986,Historical Newspapers,New York Times
Oil Prices Show Signs of Stabilizing,1/25/1986,Historical Newspapers,The Washington Post
A Shock That OPEC Won't Overcome,1/26/1986,Historical Newspapers,New York Times
Digging In as Oil Prices Slide,1/26/1986,Historical Newspapers,New York Times
Oil Blues; Merrill Mystery,1/26/1986,Historical Newspapers,New York Times
The Economy May Grow As the Price Of Oil Shrinks,1/26/1986,Historical Newspapers,New York Times
Mexico Learns the True Value Of a Peso,1/26/1986,Historical Newspapers,New York Times
Our First Century Behind the Wheel,1/26/1986,Historical Newspapers,New York Times
Our First Century Behind the Wheel,1/26/1986,Historical Newspapers,New York Times
Our First Century Behind the Wheel,1/26/1986,Historical Newspapers,New York Times
Nigeria's Economy Faces New Burden,1/27/1986,Historical Newspapers,New York Times
Stock-Buyback Strategies,1/27/1986,Historical Newspapers,New York Times
"Eurosterling Bonds, Hurt by Oil Slump, Seen Falling Further",1/27/1986,Historical Newspapers,Wall Street Journal
"Petroleum-Price Plunge Worries Banks That Have 'Oil Patch,' Foreign Loans",1/27/1986,Historical Newspapers,Wall Street Journal
"Texas, Louisiana, Alaska Find Oil's Decline Costly",1/27/1986,Historical Newspapers,Wall Street Journal
Omani Government Decides To Devalue Its Currency,1/27/1986,Historical Newspapers,Wall Street Journal
"Oil's Slump May Bolster Price of Gold Amid Banking Fears, Some Analysts Say",1/27/1986,Historical Newspapers,Wall Street Journal
Mobil Soars 49.6% in Quarter,1/28/1986,Historical Newspapers,New York Times
Cold Helps Bolster Oil Prices,1/28/1986,Historical Newspapers,New York Times
Florida Freeze Threat Sends Orange Juice Up,1/28/1986,Historical Newspapers,New York Times
Selling Plastic for Its Quality,1/28/1986,Historical Newspapers,New York Times
Global Marine Asks Protection Of Chapter 11,1/28/1986,Historical Newspapers,Wall Street Journal
Oil Firms Post Mixed Results For 4th Period,1/28/1986,Historical Newspapers,Wall Street Journal
Oil Producers Mull Strategies To Handle Glut,1/28/1986,Historical Newspapers,Wall Street Journal
Weather Forecast Boosts Contracts For Orange Juice,1/28/1986,Historical Newspapers,Wall Street Journal
"Transport, Rate-Sensitive Issues Combine to Lead Stocks Higher",1/28/1986,Historical Newspapers,Wall Street Journal
REGIONS,1/28/1986,Historical Newspapers,Wall Street Journal
OIL PRICES,1/28/1986,Historical Newspapers,Wall Street Journal
"Oil Prices Reverse, Close Up Sharply",1/28/1986,Historical Newspapers,The Washington Post
Venezuela Optimistic On Debts,1/28/1986,Historical Newspapers,The Washington Post
Mobil Profits Off 18% for Year,1/28/1986,Historical Newspapers,The Washington Post
Exxon's Profit Increased 26% In 4th Qauarter,1/29/1986,Historical Newspapers,Wall Street Journal
Three Oil Companies Slash Prices for Crude,1/29/1986,Historical Newspapers,Wall Street Journal
Texaco's Managers Are being Diverted By Its Legal Battle,1/29/1986,Historical Newspapers,Wall Street Journal
Britain Dashes OPEC's Hopes For Output Cut,1/29/1986,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,1/29/1986,Historical Newspapers,Wall Street Journal
Atlantic Richfield Suspends Program To Buy Back Stock,1/29/1986,Historical Newspapers,Wall Street Journal
Energy Contracts Plunge as Britain Affirms Oil Policy,1/29/1986,Historical Newspapers,Wall Street Journal
Prices of Oil Ease On Thatcher Talk,1/29/1986,Historical Newspapers,New York Times
Japan Imports 7.6% Less Oil,1/29/1986,Historical Newspapers,New York Times
Exxon Net Rises 26.6% In Quarter,1/29/1986,Historical Newspapers,New York Times
Conrail Net Up 25.8%,1/29/1986,Historical Newspapers,New York Times
Oil Slide Worries Competition,1/29/1986,Historical Newspapers,New York Times
Arco Suspends Buyback Plan,1/29/1986,Historical Newspapers,New York Times
Thatcher Remarks Spur Oil Price Drop,1/29/1986,Historical Newspapers,The Washington Post
Exxon Earnings Off 11.9% in 1985,1/29/1986,Historical Newspapers,The Washington Post
Oil Futures Prices Slip While Spot Prices Gain,1/30/1986,Historical Newspapers,New York Times
Corn and Wheat Fall; Soybeans Also Decline,1/30/1986,Historical Newspapers,New York Times
Coffee Contracts Plunge Amid Signs Boom Is Fading,1/30/1986,Historical Newspapers,Wall Street Journal
Qaddafi's 'Weapon' Against West May Be Blunted but It Remains a Threat,1/30/1986,Historical Newspapers,The Washington Post
Oil-Fashioned Salesmanship,1/30/1986,Historical Newspapers,The Washington Post
Is El Salvador on a U.S.-Subsidized Road to Serfdom?,1/31/1986,Historical Newspapers,Wall Street Journal
OIL PRICES,1/31/1986,Historical Newspapers,Wall Street Journal
Mexico Is Said to Prepare $4-a-Barrel Oil-Price Cut,1/31/1986,Historical Newspapers,Wall Street Journal
Oil Prices Are Mixed; Traders Ignore Reports,1/31/1986,Historical Newspapers,New York Times
Mexico Trims Price Of Its Crude,2/1/1986,Historical Newspapers,New York Times
Oil Price Cuts Nearly Invisible,2/1/1986,Historical Newspapers,New York Times
Oil Prices Off Sharply,2/1/1986,Historical Newspapers,New York Times
Mexico Cuts Oil Price $4 a Barrel,2/1/1986,Historical Newspapers,The Washington Post
Exxon Must Pay For Overcharging,2/2/1986,Historical Newspapers,New York Times
Economists See Faults in Oil Import Fee,2/2/1986,Historical Newspapers,The Washington Post
OPEC Seen as Unlikely to Ease Tumult,2/3/1986,Historical Newspapers,New York Times
A Warning By Saudis On Output,2/3/1986,Historical Newspapers,New York Times
OIL PRICES,2/3/1986,Historical Newspapers,Wall Street Journal
OPEC Discord Seen Limiting Policy Options,2/3/1986,Historical Newspapers,Wall Street Journal
"Mexico and Venezuela Slash Oil Prices, Seek Meeting to Discuss Region's Debt",2/3/1986,Historical Newspapers,Wall Street Journal
Two Steel Firms Had Big Losses For 4th Quarter,2/3/1986,Historical Newspapers,Wall Street Journal
Coniston Buys Interest of 8.2% In NL Industries,2/3/1986,Historical Newspapers,Wall Street Journal
"Drop in Oil Price Threatens Jordan's Prosperity, Stability",2/3/1986,Historical Newspapers,The Washington Post
Venezuela Lowers Price,2/3/1986,Historical Newspapers,The Washington Post
Oil Prices Plunge Again On Worry Over Output,2/4/1986,Historical Newspapers,New York Times
Prices Mostly Lower On Grain and Soybeans,2/4/1986,Historical Newspapers,New York Times
Goodyear to Report 10% Decline in Profit On Continuing Lines,2/4/1986,Historical Newspapers,Wall Street Journal
"Dollar Rises, Except Against Yen, On Economic News, Oil-Price Cuts",2/4/1986,Historical Newspapers,Wall Street Journal
