Year-Month,Article_Word_Count,Headline_Word_Count,Article_bigram_count,Headline_bigram_count,Article_Nouns,Article_Verbs,Article_Adverbs,Article_Adjectives,Headline_Nouns,Headline_Verbs,Headline_Adverbs,Headline_Adjectives,Article_Noun-Noun,Article_Adjective-Noun,Article_Verb-Noun,Article_Noun-Verb,Article_Noun-Adjective,Article_Verb-Adjective,Headline_Noun-Noun,Headline_Adjective-Noun,Headline_Verb-Noun,Headline_Noun-Verb,Headline_Noun-Adjective,Headline_Verb-Adjective
1/1/1986,62088,735,62093,734,32086,12453,2992,11608,438,136,21,113,10324,8281,3816,4040,3575,3991,120,89,49,28,32,49
2/1/1986,74351,815,74364,814,38309,15051,3649,13778,487,159,23,127,12025,9763,4824,4539,4317,4651,149,101,57,20,40,50
3/1/1986,80749,882,80764,881,42029,16268,3682,14989,510,185,28,132,13694,10677,5304,4890,4809,5054,141,102,71,34,45,52
4/1/1986,79757,1000,79773,999,41447,15887,3677,14928,589,204,29,154,13223,10572,5025,5264,4727,5085,157,119,79,38,47,64
5/1/1986,51048,600,51053,599,26981,10034,2322,9434,366,117,18,86,8782,6767,3278,3327,3102,3196,87,68,46,16,28,32
6/1/1986,38217,459,38222,458,19782,7672,1841,7112,291,86,10,60,6427,5084,2411,2453,2328,2412,94,46,38,21,23,20
7/1/1986,50937,675,50944,674,26848,9977,2341,9353,390,127,21,115,8864,6617,3168,3303,2961,3171,106,90,49,30,45,36
8/1/1986,40538,559,40543,558,21066,8062,1931,7624,340,101,18,89,6864,5388,2517,2660,2461,2556,116,70,40,18,32,31
9/1/1986,25785,348,25787,347,13580,5169,1158,4864,204,70,9,59,4524,3456,1631,1798,1579,1663,64,43,28,10,17,24
10/1/1986,38903,515,38904,514,20556,7748,1665,7089,303,94,17,86,6791,5000,2426,2857,2252,2433,95,60,37,22,27,24
11/1/1986,20279,280,20281,279,10844,3947,908,3672,157,66,4,43,3844,2620,1324,1293,1270,1209,44,34,23,11,15,19
12/1/1986,42875,543,42879,542,22766,8384,1963,7900,316,100,20,90,7670,5644,2723,2909,2631,2643,82,72,31,25,26,38
1/1/1987,44327,605,44327,604,23135,8836,1971,8198,348,114,19,108,7431,5803,2713,3215,2577,2783,89,74,49,23,35,30
2/1/1987,25500,361,25503,360,13564,5094,1098,4561,218,69,6,55,4421,3266,1640,1825,1537,1520,54,40,21,12,18,20
3/1/1987,33590,451,33590,450,17753,6600,1494,6206,272,80,20,66,5953,4408,2111,2309,2027,2128,73,52,29,19,23,22
4/1/1987,28696,384,28697,383,15293,5478,1302,5177,225,80,7,65,5154,3656,1792,2006,1711,1699,61,52,27,16,24,25
5/1/1987,35591,437,35590,436,19078,6769,1551,6512,251,87,17,73,6483,4675,2170,2337,2202,2199,65,56,31,16,36,19
6/1/1987,28209,404,28211,403,14926,5531,1273,5161,234,87,11,63,5103,3729,1729,1874,1689,1754,71,46,36,14,21,25
7/1/1987,53004,669,53007,668,27890,10289,2321,10037,397,126,19,108,8918,7253,3135,3759,3313,3347,122,83,38,25,39,41
8/1/1987,52327,657,52331,656,27047,10336,2556,9882,385,127,22,101,8625,7125,3168,3540,3207,3325,100,81,46,28,25,47
9/1/1987,29854,419,29858,418,15604,5896,1436,5568,240,80,16,79,5110,3888,1786,1970,1775,1853,83,51,29,16,26,25
10/1/1987,25211,343,25211,342,13423,4912,1141,4486,203,59,15,59,4501,3150,1575,1786,1364,1555,53,44,21,13,18,22
11/1/1987,26846,327,26846,326,14338,5259,1168,4847,197,57,11,49,4818,3477,1638,1747,1570,1687,53,37,26,16,18,14
12/1/1987,39111,519,39114,518,20333,7770,1902,7302,315,98,16,83,6552,5265,2372,2657,2366,2494,94,67,34,15,29,36
1/1/1988,36388,382,36390,381,19121,7177,1700,6531,235,60,15,59,6300,4750,2271,2488,2102,2277,71,50,21,8,23,20
2/1/1988,22433,174,22433,173,11743,4236,1130,4182,98,42,5,23,3806,2954,1244,1325,1337,1353,25,21,13,7,7,12
3/1/1988,31721,370,31725,369,16604,6277,1441,5871,225,65,9,59,5428,4228,2002,2074,1872,2053,74,48,21,7,20,20
4/1/1988,42615,448,42619,447,22188,8412,1949,7823,263,92,15,71,6964,5614,2725,2737,2626,2565,69,57,34,10,29,21
5/1/1988,23890,303,23893,302,12591,4647,1098,4376,175,64,12,48,4171,3112,1471,1570,1431,1469,44,41,23,8,19,15
6/1/1988,27344,249,27346,248,14410,5074,1314,5092,153,50,3,35,4869,3666,1557,1613,1693,1628,45,26,14,13,12,17
7/1/1988,38169,483,38168,482,20057,7471,1821,6869,305,83,13,67,6476,4919,2462,2549,2280,2232,95,54,33,15,23,24
8/1/1988,19366,235,19368,234,10148,3806,821,3630,131,53,5,41,3323,2603,1201,1193,1167,1228,29,28,20,8,12,12
9/1/1988,32895,415,32898,414,17126,6398,1488,6342,236,83,14,73,5643,4447,1984,2252,1942,2149,69,57,26,9,22,27
10/1/1988,47460,530,47466,529,24707,9129,2244,8918,304,110,21,79,8009,6336,2795,3057,2776,2955,106,58,46,18,21,29
11/1/1988,29842,291,29843,290,15404,6012,1375,5640,173,53,7,49,4968,4007,1896,2026,1737,2004,49,36,20,8,19,18
12/1/1988,31179,286,31179,285,16398,6152,1508,5753,165,54,11,49,5375,4116,1903,2028,1934,1859,52,35,18,10,13,17
1/1/1989,40214,554,40216,553,20656,8034,1984,7488,324,110,12,99,6239,5243,2479,2861,2325,2457,92,77,39,19,32,40
2/1/1989,29666,360,29666,359,15657,5706,1391,5604,216,71,12,55,5277,3936,1696,1739,1876,1789,66,44,24,11,20,21
3/1/1989,41198,652,41200,651,21500,8288,1947,7504,377,129,27,108,6773,5341,2689,3045,2486,2480,104,82,41,27,33,38
4/1/1989,49460,633,49466,632,25482,9776,2560,9068,363,131,22,98,7907,6436,3045,3335,2849,2998,103,78,49,34,23,41
5/1/1989,45235,538,45243,537,23765,8708,2149,8484,306,107,19,93,7713,5994,2676,2809,2727,2745,74,69,44,14,36,32
6/1/1989,33578,414,33577,413,17591,6597,1589,6260,237,81,14,70,5730,4429,2006,2229,2014,2076,65,49,30,14,21,22
7/1/1989,31365,387,31367,386,16344,6116,1563,5720,220,76,10,69,5147,4120,1896,2022,1864,1888,62,46,28,13,24,26
8/1/1989,34908,397,34911,396,18381,6810,1631,6560,230,78,16,56,5955,4660,2067,2082,2116,2214,71,42,31,11,30,14
9/1/1989,24861,326,24862,325,12974,4936,1195,4495,188,71,9,51,4212,3214,1539,1588,1456,1477,57,34,22,10,14,21
10/1/1989,39291,459,39294,458,20896,7511,1922,7206,269,82,17,84,7481,5116,2317,2542,2297,2384,66,61,32,20,31,27
11/1/1989,32455,421,32459,420,16472,6619,1754,6138,240,83,15,74,5148,4281,2032,2241,1816,2118,76,55,27,13,25,26
12/1/1989,33759,488,33763,487,17531,6867,1747,6178,279,110,14,74,5531,4422,2251,2329,1978,2026,78,59,38,14,23,34
1/1/1990,24015,340,24018,339,12488,4776,1213,4281,192,68,15,59,4039,2983,1550,1576,1336,1430,52,43,23,17,19,19
2/1/1990,23157,319,23159,318,12534,4313,986,4340,186,65,8,55,4576,3073,1369,1423,1396,1412,63,45,24,16,23,20
3/1/1990,12210,180,12210,179,6478,2368,506,2312,104,38,5,28,2146,1590,759,816,732,773,30,21,16,2,14,6
4/1/1990,21293,341,21292,340,11206,4061,914,3950,190,68,12,64,3729,2708,1260,1359,1228,1326,51,47,20,14,19,27
5/1/1990,18538,301,18540,300,9667,3732,909,3289,170,57,12,54,3113,2287,1225,1193,980,1086,52,31,16,9,16,16
6/1/1990,20696,288,20697,287,10652,4229,1070,3701,159,62,17,44,3457,2598,1348,1347,1147,1293,49,33,14,6,10,20
7/1/1990,25871,400,25873,399,13501,5085,1223,4830,227,74,14,75,4288,3434,1582,1821,1499,1624,66,60,25,11,30,23
8/1/1990,137040,1527,137064,1526,71416,27491,6476,25074,915,297,34,233,23477,18131,8863,8492,8070,8743,299,179,111,43,95,82
9/1/1990,91755,1148,91769,1147,47653,18489,4284,17021,685,224,30,182,15613,12236,5814,5975,5436,5818,220,144,71,43,59,71
10/1/1990,78181,1075,78193,1074,40138,15732,3810,14802,645,197,25,185,12588,10422,4834,5210,4683,5061,198,141,67,31,62,67
11/1/1990,59651,826,59655,825,31220,11919,2674,11335,492,164,20,136,10089,8191,3785,3970,3788,3754,157,106,62,28,52,42
12/1/1990,39291,537,39296,536,20416,7894,1890,7271,306,107,17,91,6585,5235,2494,2776,2323,2528,90,68,40,17,34,25
1/1/1991,93421,956,93428,955,48597,18965,4411,17098,575,167,28,165,15592,12386,5858,6438,5617,5958,148,129,70,33,67,50
2/1/1991,46184,440,46187,439,24093,9338,2250,8511,258,89,14,70,7803,6070,2914,3132,2741,2917,83,53,29,15,22,27
3/1/1991,42771,426,42776,425,22156,8669,2134,7680,248,84,9,72,7133,5527,2818,2800,2465,2614,75,51,27,16,26,23
4/1/1991,35739,393,35738,392,18740,6930,1693,6492,223,80,9,70,5725,4592,2126,2490,2153,2084,65,49,23,13,23,23
